id,days
314114,21-30
208989,21-30
305872,11-20
266099,21-30
13228,21-30
181868,21-30
306919,21-30
281736,21-30
102076,11-20
294069,21-30
216652,21-30
7359,21-30
291915,21-30
244224,21-30
258238,21-30
239066,11-20
235980,21-30
112350,21-30
113056,21-30
163673,11-20
127096,21-30
72389,21-30
120380,11-20
2512,21-30
123251,21-30
239621,11-20
145362,11-20
152864,21-30
276592,21-30
259725,11-20
282141,21-30
205897,11-20
60270,21-30
9349,11-20
10358,21-30
142083,11-20
4246,11-20
62097,11-20
83651,11-20
301531,21-30
189935,21-30
1105,11-20
122417,11-20
209276,21-30
186364,21-30
81532,21-30
6101,21-30
111411,21-30
132807,11-20
32974,21-30
66247,21-30
45875,21-30
80368,21-30
254220,11-20
317355,21-30
3992,21-30
121996,21-30
7622,11-20
66678,21-30
257711,21-30
191447,21-30
186922,21-30
178954,21-30
129618,11-20
210622,11-20
176525,21-30
215357,11-20
39978,11-20
172250,11-20
245661,21-30
284876,21-30
44578,11-20
278246,11-20
257590,21-30
67448,21-30
204983,21-30
107552,11-20
64638,21-30
184208,21-30
272642,21-30
270450,21-30
282712,11-20
42111,21-30
228370,11-20
315668,21-30
156630,21-30
311254,21-30
260074,21-30
113891,11-20
50680,11-20
62672,11-20
4602,21-30
3840,21-30
96482,21-30
269215,11-20
230162,21-30
202859,21-30
29054,21-30
101173,11-20
61745,21-30
74601,11-20
59042,21-30
93244,11-20
16311,11-20
259915,21-30
22165,21-30
122228,21-30
2169,21-30
246790,21-30
222938,11-20
201994,21-30
129279,11-20
165577,11-20
199510,11-20
233062,21-30
118986,21-30
170099,21-30
68003,11-20
95317,21-30
82625,21-30
97815,11-20
32470,11-20
25167,21-30
31160,11-20
200100,21-30
133882,11-20
306905,11-20
159751,21-30
312603,11-20
241843,11-20
121636,21-30
70226,21-30
284445,21-30
317198,11-20
189096,11-20
55212,11-20
241931,21-30
211173,21-30
306608,21-30
97301,21-30
124765,21-30
181200,21-30
283210,21-30
37340,21-30
114657,11-20
129359,21-30
217724,21-30
307327,11-20
10993,11-20
26338,11-20
245314,11-20
132687,11-20
3560,21-30
317545,21-30
316404,11-20
53853,21-30
1646,11-20
291525,11-20
106946,11-20
249823,11-20
279542,21-30
27789,21-30
300904,11-20
87083,21-30
101708,21-30
284058,21-30
73714,21-30
133821,21-30
13514,11-20
251247,21-30
89266,21-30
121148,21-30
82736,21-30
92396,21-30
235041,21-30
248348,21-30
24967,21-30
51565,11-20
210268,21-30
4783,21-30
201175,21-30
197597,11-20
73247,21-30
7031,21-30
28503,21-30
37525,21-30
140809,21-30
171518,21-30
219740,21-30
238250,11-20
229041,21-30
314908,21-30
165263,11-20
285874,21-30
292512,21-30
111146,21-30
193264,21-30
59471,11-20
188041,21-30
287482,21-30
314111,11-20
231828,11-20
315719,11-20
178509,21-30
286596,11-20
79762,21-30
16950,21-30
186640,21-30
234411,21-30
284067,11-20
310298,21-30
36063,21-30
64847,11-20
69811,21-30
214271,11-20
143692,21-30
154592,21-30
173565,21-30
74233,11-20
219996,21-30
138559,21-30
289439,11-20
217230,21-30
214491,11-20
76104,21-30
71861,21-30
234144,21-30
134025,11-20
111296,11-20
262935,21-30
12715,11-20
44142,11-20
277832,21-30
192751,21-30
132099,21-30
229029,21-30
155806,21-30
263612,11-20
155368,21-30
451,21-30
33863,11-20
105576,21-30
230021,21-30
262074,21-30
142406,21-30
102910,21-30
45615,21-30
144743,11-20
49749,11-20
81100,21-30
2879,21-30
134210,21-30
124320,21-30
196315,21-30
87173,11-20
47179,11-20
165480,11-20
259778,21-30
256858,11-20
289574,21-30
289806,21-30
91767,11-20
9299,11-20
252028,21-30
103357,11-20
318045,11-20
114975,21-30
180182,21-30
86922,21-30
190965,11-20
245123,11-20
74491,21-30
160111,11-20
230364,11-20
68694,11-20
218471,21-30
165494,11-20
82628,11-20
256723,21-30
235121,11-20
73694,21-30
108322,21-30
57222,11-20
1971,21-30
