id,days
314114,21-30
208989,21-30
305872,21-30
266099,31-40
13228,21-30
181868,21-30
306919,51-60
281736,21-30
102076,21-30
294069,31-40
216652,21-30
7359,21-30
291915,21-30
244224,21-30
258238,11-20
239066,51-60
235980,21-30
112350,21-30
113056,11-20
163673,11-20
127096,31-40
72389,21-30
120380,21-30
2512,11-20
123251,51-60
239621,21-30
145362,51-60
152864,21-30
276592,51-60
259725,21-30
282141,51-60
205897,11-20
60270,21-30
9349,11-20
10358,21-30
142083,11-20
4246,11-20
62097,21-30
83651,11-20
301531,11-20
189935,21-30
1105,21-30
122417,31-40
209276,21-30
186364,21-30
81532,21-30
6101,21-30
111411,51-60
132807,51-60
32974,21-30
66247,21-30
45875,11-20
80368,21-30
254220,21-30
317355,31-40
3992,51-60
121996,21-30
7622,51-60
66678,11-20
257711,11-20
191447,31-40
186922,21-30
178954,11-20
129618,21-30
210622,51-60
176525,21-30
215357,11-20
39978,21-30
172250,21-30
245661,21-30
284876,21-30
44578,21-30
278246,21-30
257590,51-60
67448,21-30
204983,21-30
107552,21-30
64638,21-30
184208,31-40
272642,21-30
270450,11-20
282712,31-40
42111,21-30
228370,21-30
315668,31-40
156630,21-30
311254,21-30
260074,21-30
113891,51-60
50680,11-20
62672,21-30
4602,21-30
3840,21-30
96482,21-30
269215,11-20
230162,21-30
202859,21-30
29054,51-60
101173,11-20
61745,21-30
74601,51-60
59042,21-30
93244,51-60
16311,21-30
259915,51-60
22165,21-30
122228,21-30
2169,51-60
246790,11-20
222938,11-20
201994,31-40
129279,21-30
165577,21-30
199510,51-60
233062,11-20
118986,11-20
170099,21-30
68003,21-30
95317,21-30
82625,11-20
97815,21-30
32470,11-20
25167,21-30
31160,21-30
200100,21-30
133882,21-30
306905,21-30
159751,21-30
312603,11-20
241843,11-20
121636,21-30
70226,21-30
284445,21-30
317198,21-30
189096,21-30
55212,11-20
241931,21-30
211173,21-30
306608,31-40
97301,31-40
124765,31-40
181200,21-30
283210,21-30
37340,21-30
114657,51-60
129359,11-20
217724,21-30
307327,11-20
10993,51-60
26338,21-30
245314,51-60
132687,21-30
3560,11-20
317545,31-40
316404,21-30
53853,11-20
1646,21-30
291525,11-20
106946,11-20
249823,11-20
279542,31-40
27789,21-30
300904,21-30
87083,21-30
101708,51-60
284058,11-20
73714,21-30
133821,51-60
13514,21-30
251247,51-60
89266,21-30
121148,51-60
82736,51-60
92396,11-20
235041,21-30
248348,31-40
24967,51-60
51565,51-60
210268,21-30
4783,21-30
201175,11-20
197597,51-60
73247,21-30
7031,21-30
28503,21-30
37525,21-30
140809,31-40
171518,11-20
219740,21-30
238250,31-40
229041,21-30
314908,21-30
165263,21-30
285874,21-30
292512,21-30
111146,51-60
193264,51-60
59471,21-30
188041,21-30
287482,31-40
314111,21-30
231828,21-30
315719,21-30
178509,11-20
286596,51-60
79762,21-30
16950,21-30
186640,51-60
234411,21-30
284067,21-30
310298,21-30
36063,21-30
64847,21-30
69811,51-60
214271,31-40
143692,21-30
154592,21-30
173565,11-20
74233,11-20
219996,21-30
138559,21-30
289439,11-20
217230,11-20
214491,31-40
76104,51-60
71861,21-30
234144,51-60
134025,21-30
111296,21-30
262935,21-30
12715,11-20
44142,21-30
277832,21-30
192751,11-20
132099,31-40
229029,11-20
155806,21-30
263612,21-30
155368,21-30
451,21-30
33863,11-20
105576,21-30
230021,51-60
262074,21-30
142406,11-20
102910,31-40
45615,21-30
144743,21-30
49749,11-20
81100,21-30
2879,11-20
134210,11-20
124320,31-40
196315,21-30
87173,51-60
47179,21-30
165480,21-30
259778,21-30
256858,21-30
289574,21-30
289806,21-30
91767,51-60
9299,21-30
252028,11-20
103357,11-20
318045,21-30
114975,21-30
180182,11-20
86922,21-30
190965,21-30
245123,51-60
74491,11-20
160111,21-30
230364,11-20
68694,51-60
218471,21-30
165494,11-20
82628,11-20
256723,21-30
235121,21-30
73694,51-60
108322,31-40
57222,21-30
1971,21-30
